Lead PI,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Results Elliptical,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71710376,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71710476,Online Shopping,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71710576,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71710676,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71710776,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71710876,Electronic - UnSourced,Web
Bowflex Revolution,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71710976,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71711076,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71711176,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71711276,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71711376,Online Display,Web
Bowflex HVT,CAM50802 DODG2HDL2,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71711476,Online Display,Web
Bowflex Selecttech Dumbbells,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71711576,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71711676,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71711776,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71711876,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71711976,Electronic - UnSourced,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71712176,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71712276,Online Shopping,Web
Bowflex Max Trainer,CAM50739 DODTABOOLAEDL6,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71712476,Online Display,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71712676,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71712876,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71712976,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71713076,Electronic - UnSourced,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71713077,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713176,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713177,Online Search,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713178,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71713276,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713376,Online Search,Web
Bowflex HVT,CAM50805 DODTABOOLAHDL1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71713476,Online Display,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,8/16/2017,8/14/2017,71713780,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713781,Online Display,Web
Treadclimber,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71713881,Catalog,Call Center Internal
Bowflex Catalog,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71713882,Catalog,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71713983,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714083,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714183,Online Shopping,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714184,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714283,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714483,Online Search,Web
Bowflex Max Trainer,CAM50713 DODG2EDL2,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714583,Online Display,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714584,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71714885,Electronic - UnSourced,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71714991,Online Search,Web
Treadclimber,CAM50820 DOSG2BXTSL2,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715092,Online Search,Web
Bowflex Revolution,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715192,Online Search,Web
Bowflex Max Trainer,CAM44236 SAWMAX,Internal,8/16/2017,8/16/2017,8/14/2017,71715293,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715294,Online Search,Web
Results Elliptical,CAM50747 1800RESULTSELLIPTICAL,Internal,8/16/2017,8/16/2017,8/14/2017,71715394,Un-Sourced,Call Center Internal
Schwinn,CAM45327 1800MAXTRAINER,Internal,,8/16/2017,8/14/2017,71715395,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM51526 BRNGN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715399,Short Form,Call Center Internal
Treadclimber,CAM51526 BRNGN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715400,Short Form,Call Center Internal
Schwinn,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71715404,Catalog,Call Center Internal
Bowflex Catalog,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71715405,Catalog,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71715712,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71715812,Online Display,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71715912,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71716012,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71716112,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716312,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716413,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716414,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716415,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71716512,Online Shopping,Web
Bowflex HVT,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71716613,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71716614,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716713,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71716914,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71717014,Electronic - Short Form,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717114,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717215,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71717314,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71717315,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71717414,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71717514,Electronic - UnSourced,Web
Results Treadmill,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717614,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717615,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717715,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717815,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717816,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71717920,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71718124,Electronic - UnSourced,Web
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71718325,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71718427,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71718428,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71718728,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71718835,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71718935,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719035,Electronic - Short Form,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719135,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71719235,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71719335,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719435,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71719536,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71719537,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71719637,Catalog,Call Center Internal
Bowflex Max Trainer,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71719638,Catalog,Call Center Internal
Treadclimber,CAM50972 DCBHOMESUM17,Internal,,8/16/2017,8/14/2017,71719639,Catalog,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719641,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719642,Online Search,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71719741,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719843,Short Form,Call Center Internal
Treadclimber,CAM51536 FOXNN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719844,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51537 HICNN60*M350STIC,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71719846,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719847,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719948,Online Display,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71719949,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71720048,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71720148,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71720248,Online Search,Web
Bowflex Max Trainer,CAM44236 SAWMAX,Internal,8/16/2017,8/16/2017,8/14/2017,71720448,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45042 SAWDOFBIE,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71720449,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71720450,Online Search,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/16/2017,8/14/2017,71720551,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71720552,Online Search,Web
Bowflex HVT,CAM50958 DSEHSF17A,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71720653,Electronic - Short Form,Web
Bowflex Max Trainer,CAM51505 ION*N60*M350CTIC,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71720855,Short Form,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71720956,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM129 1800BOWFLEX_BST,Internal,,8/16/2017,8/14/2017,71721057,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721058,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71721263,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71721363,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721463,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721564,Online Shopping,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721565,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721566,Online Search,Web
Bowflex Max Trainer,CAM47172 DOXFBEGL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721664,Online Social,Call Center Internal
Bowflex Max Trainer,CAM51478 SUNDN60*M350CTIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721665,Short Form,Call Center Internal
Treadclimber,CAM51478 SUNDN60*M350CTIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721666,Short Form,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721669,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721670,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71721869,Online Display,Web
Bowflex Max Trainer,CAM51525 LAFFN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722171,Short Form,Call Center Internal
Treadclimber,CAM51525 LAFFN60*M350STIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722172,Short Form,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,8/16/2017,8/14/2017,71722175,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,8/16/2017,8/14/2017,71722176,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722179,Online Display,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722280,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722380,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47172 DOXFBEGL1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722480,Online Social,Call Center Internal
Results Treadmill,CAM50820 DOSG2BXTSL2,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722481,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722581,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722582,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722681,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,8/16/2017,8/16/2017,8/14/2017,71722784,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44551 dosg2esl4,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71722789,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722889,Electronic - UnSourced,Web
Schwinn,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722890,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722891,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71722989,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71723089,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71723190,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71723491,Online Search,Web
Bowflex Max Trainer,CAM40821 1800BOWFLEX,Internal,,8/16/2017,8/14/2017,71723594,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM51748 DODIMGECOLFSUDL1,IMG,8/16/2017,8/16/2017,8/14/2017,71723596,Online Display,Web
Bowflex Max Trainer,CAM51505 ION*N60*M350CTIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71723696,Short Form,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71723697,Online Search,Web
Bowflex Max Trainer,CAM51498 DISAN60*M350CTIC,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71723798,Short Form,Call Center Internal
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71723799,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71723901,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71724001,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/16/2017,8/14/2017,71724101,Online Search,Call Center Internal
Bowflex Max Trainer,CAM51611 CMT*N60*M350STIC,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71724103,Short Form,Call Center Internal
Bowflex Home Gyms,CAM50723 DOSBIESL11,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724107,Online Search,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724206,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/16/2017,8/14/2017,71724207,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724209,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724411,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724515,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71724718,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71724820,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71724924,Online Display,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725024,Online Search,Web
Bowflex Revolution,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725124,Online Display,Web
Bowflex HVT,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725125,Online Display,Web
Treadclimber,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725126,Online Display,Web
Bowflex Home Gyms,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725127,Online Display,Web
Bowflex Catalog,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725128,Online Display,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71725225,Online Shopping,Web
Results Elliptical,CAM50747 1800RESULTSELLIPTICAL,Internal,,8/16/2017,8/14/2017,71725425,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725526,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725626,Online Shopping,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725726,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725826,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71725926,Online Search,Web
Bowflex Max Trainer,CAM51705 CHARN60**M350STIC,TouchPoint Integrated Communications,8/16/2017,8/16/2017,8/14/2017,71726030,Short Form,Call Center Internal
Bowflex Home Gyms,CAM32080 SAWDOFG2G,Internal,8/16/2017,8/16/2017,8/14/2017,71726134,Online Shopping,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,8/16/2017,8/16/2017,8/14/2017,71726135,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71726136,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726336,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/16/2017,8/14/2017,71726538,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,Internal,,8/16/2017,8/14/2017,71726638,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM44626 1800BOWFLEX_BMT,Internal,,8/16/2017,8/14/2017,71726639,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44551 dosg2esl4,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726640,Online Search,Web
Bowflex Max Trainer,CAM50738 DSEESF17B,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726740,Electronic - Short Form,Call Center Internal
Treadclimber,CAM50738 DSEESF17B,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726741,Electronic - Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726742,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71726942,Online Search,Web
Bowflex Max Trainer,CAM51523 IFC*N60*M350STIC,TouchPoint Integrated Communications,,9/14/2012,9/10/2012,71727044,Short Form,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,8/16/2017,8/16/2017,8/14/2017,71727045,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM51499 DISMN60*M350CTIC,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71727047,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/16/2017,8/14/2017,71727048,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/16/2017,8/16/2017,8/14/2017,71727148,Electronic - UnSourced,Web
