Bowflex Selecttech Dumbbells,CAM49389 DCBHOMESUM16,,7/15/2016,7/11/2016,1,Catalog,Web
Treadclimber,CAM37440 dosg2tsl21,,7/18/2016,7/18/2016,11,Online Search,Web
Treadclimber,CAM37443 dosg2tsl24,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM37443 dosg2tsl24,,7/18/2016,7/18/2016,3,Online Search,Web
Treadclimber,CAM37492 dosbitsl5,7/18/2016,7/18/2016,7/18/2016,5,Online Search,Web
Treadclimber,CAM37655 dosbitsl10,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM37655 dosbitsl10,,7/18/2016,7/18/2016,4,Online Search,Web
Bowflex Home Gyms,CAM37743 dosbigsl6,,7/18/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM38842 dosg2tsl27,7/18/2016,7/18/2016,7/18/2016,5,Online Search,Web
Bowflex Brand,CAM39441 dosbigl1,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,,7/18/2016,7/18/2016,6,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,,7/18/2016,7/18/2016,4,Online Search,Web
Treadclimber,CAM39441 dosbigl1,,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Home Gyms,CAM40821 1800BOWFLEX,,7/18/2016,7/18/2016,4,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM40821 1800BOWFLEX,,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM40821 1800BOWFLEX,,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM40825 1800TREADCLIMBER,,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,7/18/2016,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,,7/18/2016,7/18/2016,3,Un-Sourced,Call Center Internal
Treadclimber,CAM43683 dosbitsl14,7/18/2016,7/18/2016,7/18/2016,3,Online Search,Web
Bowflex Max Trainer,CAM44172 dseesf14a,7/18/2016,7/18/2016,7/18/2016,26,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,7/18/2016,7/18/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,7/18/2016,7/18/2016,7/18/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,7/18/2016,7/18/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,7/18/2016,7/18/2016,7/18/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,7/18/2016,7/18/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,7/18/2016,7/18/2016,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,7/18/2016,7/18/2016,3,Online Search,Call Center Internal
Treadclimber,CAM44223 SAWDOSBIE,,7/18/2016,7/18/2016,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44230 SAWDOSG2E,,7/18/2016,7/18/2016,5,Online Search,Call Center Internal
Treadclimber,CAM44230 SAWDOSG2E,,7/18/2016,7/18/2016,4,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,7/18/2016,7/18/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,7/18/2016,7/18/2016,3,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM44236 SAWMAX,,7/18/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,7/18/2016,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,,7/18/2016,7/18/2016,13,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM44436 dosg2esl2,7/18/2016,7/18/2016,7/18/2016,13,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,7/18/2016,7/18/2016,7/18/2016,4,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,,7/18/2016,7/18/2016,23,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,,7/18/2016,7/18/2016,4,Online Search,Web
Bowflex Max Trainer,CAM44531 dosbiesl2,7/18/2016,7/18/2016,7/18/2016,3,Online Search,Web
Bowflex Max Trainer,CAM44539 SAWDOSG2EMOBILE2,,7/18/2016,7/18/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44551 dosg2esl4,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,7/18/2016,7/18/2016,5,Online Search,Web
Bowflex Max Trainer,CAM44565 dosbiesl5,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,7/18/2016,7/18/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44626 1800BOWFLEX_BMT,,7/18/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM44626 1800BOWFLEX_BMT,,7/18/2016,7/18/2016,2,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM44887 dofg2efeed1,,7/18/2016,7/18/2016,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,7/18/2016,7/18/2016,7/18/2016,5,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,7/18/2016,7/18/2016,43,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM44887 dofg2efeed1,,7/18/2016,7/18/2016,2,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,7/18/2016,7/18/2016,5,Online Shopping,Web
Bowflex Max Trainer,CAM44937 dofszefeed1,,7/18/2016,7/18/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,,7/18/2016,7/18/2016,5,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM44948 dofbiefeed1,,7/18/2016,7/18/2016,1,Online Shopping,Web
Treadclimber,CAM44948 dofbiefeed1,,7/18/2016,7/18/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,7/18/2016,7/18/2016,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,7/18/2016,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,7/18/2016,7/18/2016,2,Un-Sourced,Call Center Internal
Schwinn,CAM45327 1800MAXTRAINER,,7/18/2016,7/18/2016,2,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,7/18/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,7/18/2016,7/18/2016,7/18/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,7/18/2016,7/18/2016,7/18/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,7/18/2016,7/18/2016,4,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45732 DOSBIESL7,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,7/18/2016,7/18/2016,7/18/2016,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45800 DSEESF14J,7/18/2016,7/18/2016,7/18/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45852 DOSG2TSL32,,7/18/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM45852 DOSG2TSL32,7/18/2016,7/18/2016,7/18/2016,11,Online Search,Web
Treadclimber,CAM45852 DOSG2TSL32,,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,,7/18/2016,7/18/2016,1,Online Display,Web
Treadclimber,CAM46399 CMGTP60*GRT2HWST,7/18/2016,7/18/2016,7/18/2016,5,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM47150 DOSG2ESL9,7/18/2016,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,7/18/2016,7/18/2016,14,Online Search,Web
Treadclimber,CAM47150 DOSG2ESL9,,7/18/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,7/18/2016,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Catalog,CAM47170 DOXFBGL1,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Home Gyms,CAM47170 DOXFBGL1,,7/18/2016,7/18/2016,1,Online Social,Web
Treadclimber,CAM47235 SAWDODCTOT,,7/18/2016,7/18/2016,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,7/18/2016,7/18/2016,7/18/2016,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,7/18/2016,7/18/2016,7/18/2016,1,Online Display,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,7/18/2016,7/18/2016,12,Online Display,Web
Treadclimber,CAM47251 DODCTOEDL2,,7/18/2016,7/18/2016,1,Online Display,Web
Bowflex Max Trainer,CAM47254 DODCTOTDL1,,7/18/2016,7/18/2016,2,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,,7/18/2016,7/18/2016,3,Online Display,Web
Bowflex Home Gyms,CAM47260 DODCTOGDL1,,7/18/2016,7/18/2016,1,Online Display,Web
Bowflex Selecttech Dumbbells,CAM47266 DODCTODDL1,,7/18/2016,7/18/2016,2,Online Display,Web
Treadclimber,CAM48184 DOXFBTSCODE001,,7/18/2016,7/18/2016,1,Online Social,Web
Treadclimber,CAM48188 DOXFBTSCODE005,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48202 DOXFBESCODE002,7/18/2016,7/18/2016,7/18/2016,3,Online Social,Web
Bowflex Max Trainer,CAM48202 DOXFBESCODE002,,7/18/2016,7/18/2016,2,Online Social,Web
Bowflex Max Trainer,CAM48203 DOXFBESCODE003,,7/18/2016,7/18/2016,2,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48207 DOXFBDSCODE001,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48209 DOXFBDSCODE003,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48218 DOXFBSCODE005,7/18/2016,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48218 DOXFBSCODE005,,7/18/2016,7/18/2016,1,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48253 DOFBIDFEED3,,7/18/2016,7/18/2016,1,Online Shopping,Web
Treadclimber,CAM48292 ZLIVN120KMV**TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48503 BRNGN120HKINGTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48518 INSPN180HKINGTIC,7/18/2016,7/18/2016,7/18/2016,3,Short Form,Call Center Internal
Treadclimber,CAM48518 INSPN180HKINGTIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48520 DLFEN180HKINGTIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM48520 DLFEN180HKINGTIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48521 HMM*N180HKINGTIC,7/18/2016,7/18/2016,7/18/2016,5,Short Form,Call Center Internal
Treadclimber,CAM48521 HMM*N180HKINGTIC,,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM48657 ION*N60*HKINGTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48738 MX20P60*J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48746 VEL*N120J14FSTIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM48746 VEL*N120J14FSTIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48753 RELZN120J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48756 LAFFN120J14FSTIC,7/18/2016,7/18/2016,7/18/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48758 CMT*N120J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48760 ODORN120J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48774 PIVTN180JACFSTIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48793 HERON5MNHAMFSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48876 DSEESF15A,7/18/2016,7/18/2016,7/18/2016,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,,7/18/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,,7/18/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM49142 MX26P60*J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - West
Treadclimber,CAM49228 INSPN120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,4,Short Form,Call Center Internal
Treadclimber,CAM49231 GAMEN120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49232 DCADN120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49232 DCADN120BOO16TIC,,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49234 GET*N120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49237 MOVSN120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49237 MOVSN120BOO16TIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49246 DODSTLEDL1,,7/18/2016,7/18/2016,1,Online Display,Web
Treadclimber,CAM49246 DODSTLEDL1,,7/18/2016,7/18/2016,1,Online Display,Web
Bowflex Max Trainer,CAM49295 DSEESF16A,7/18/2016,7/18/2016,7/18/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49297 DSEESF16C,7/18/2016,7/18/2016,7/18/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49297 DSEESF16C,,7/18/2016,7/18/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49315 MX40P60*J14FSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49336 SUNDN120HAM7*TIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49339 SPKEN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49345 JUSTN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,7,Short Form,Call Center Internal
Treadclimber,CAM49345 JUSTN120HAM7*TIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49346 GRITN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM49346 GRITN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49349 FOXNN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM49349 FOXNN120HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49355 DISMN60*HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49406 TESCN120BOO16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49445 ION*N60*HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49461 DISAN60*HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49461 DISAN60*HAM7*TIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49466 CTRYN5MNHAMFSTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49474 DRTFN60*HKINGTIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49502 HMM*N120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49502 HMM*N120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49504 INSPN120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49507 GAMEN120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,5,Short Form,Call Center Internal
Treadclimber,CAM49508 DCADN120ABC16TIC,,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49509 TESCN120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49510 GET*N120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,5,Short Form,Call Center Internal
Treadclimber,CAM49510 GET*N120ABC16TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49514 LMN*N60*ABC16TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49516 ION*N60*ABC16TIC,7/18/2016,7/18/2016,7/18/2016,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49532 COMLL60*HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49534 DISLL60*HAM7*TIC,7/18/2016,7/18/2016,7/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49544 P0816USWKLYCTINA,,7/18/2016,7/18/2016,1,Print,Call Center Internal
Bowflex Max Trainer,CAM49580 DODTABOOLAEDL2,7/18/2016,7/18/2016,7/18/2016,2,Online Display,Web
Bowflex Max Trainer,CAM49580 DODTABOOLAEDL2,,7/18/2016,7/18/2016,1,Online Display,Web
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,7/19/2016,7/19/2016,7/18/2016,2,Electronic - UnSourced,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,,7/19/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM133 1800BOWFLEX_TRC,7/19/2016,7/19/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM16426 DSETDIR,7/19/2016,7/19/2016,7/18/2016,2,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,7/19/2016,7/18/2016,9,Electronic - Short Form,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,3,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,28,Electronic - UnSourced,Web
Bowflex Catalog,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,47,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,7/19/2016,7/19/2016,7/18/2016,6,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,34,Electronic - UnSourced,Web
Bowflex Revolution,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,5,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,20,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,7/19/2016,7/19/2016,7/18/2016,5,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,,7/19/2016,7/18/2016,11,Electronic - UnSourced,Web
Bowflex Catalog,CAM28157 SALESFOLLOWUP,,7/19/2016,7/18/2016,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/19/2016,7/18/2016,11,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,7/19/2016,7/18/2016,2,Un-Sourced,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,,7/19/2016,7/18/2016,2,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM30753 dosg2dsl5,,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,,7/19/2016,7/18/2016,3,Online Search,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,,7/19/2016,7/18/2016,1,Online Search,Call Center Internal
Schwinn,CAM30796 SAWDOSG2G,,7/19/2016,7/18/2016,1,Online Search,Call Center Internal
Treadclimber,CAM30842 icaosgctsl3,7/19/2016,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,2,Online Search,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,13,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,7/19/2016,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,11,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,7/19/2016,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,11,Online Search,Web
Bowflex Revolution,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,3,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,,7/19/2016,7/18/2016,4,Online Search,Web
Treadclimber,CAM32061 dofg2dfeed1,,7/19/2016,7/18/2016,1,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,7/19/2016,7/19/2016,7/18/2016,1,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,,7/19/2016,7/18/2016,3,Online Shopping,Web
Treadclimber,CAM32595 SAWDOSBIT,7/19/2016,7/19/2016,7/18/2016,1,Online Search,Call Center Internal
Bowflex Catalog,CAM33956 SAWDOFPGC,,7/19/2016,7/18/2016,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM33956 SAWDOFPGC,,7/19/2016,7/18/2016,1,Online Shopping,Call Center Internal
Treadclimber,CAM33956 SAWDOFPGC,,7/19/2016,7/18/2016,1,Online Shopping,Call Center Internal
Bowflex Home Gyms,CAM36104 SAWSF11E,,7/19/2016,7/18/2016,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36104 SAWSF11E,,7/19/2016,7/18/2016,3,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36194 dosg2tsl1,7/19/2016,7/19/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM36194 dosg2tsl1,,7/19/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM36206 dosg2tsl7,,7/19/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM36298 dsetsf11g,7/19/2016,7/19/2016,7/18/2016,2,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,7/19/2016,7/18/2016,4,Electronic - Short Form,Web
Treadclimber,CAM36605 SAWSF12A,,7/19/2016,7/18/2016,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36608 dsetsf12a,7/19/2016,7/19/2016,7/18/2016,11,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,7/19/2016,7/18/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM36885 dosbitsl2,,7/19/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM36885 dosbitsl2,,7/19/2016,7/18/2016,3,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM37432 dosg2dsl18,,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37432 dosg2dsl18,,7/19/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,,7/19/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,7/19/2016,7/19/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,,7/19/2016,7/18/2016,14,Online Search,Web
Treadclimber,CAM37443 dosg2tsl24,,7/19/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM37492 dosbitsl5,7/19/2016,7/19/2016,7/18/2016,2,Online Search,Web
Treadclimber,CAM37494 dosbitsl7,,7/19/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM37655 dosbitsl10,,7/19/2016,7/18/2016,5,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37740 dosbidsl8,,7/19/2016,7/18/2016,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37741 dosbidsl9,,7/19/2016,7/18/2016,1,Online Search,Web
Treadclimber,CAM38447 dodrftdl1,,7/19/2016,7/18/2016,1,Online Display,Web
Treadclimber,CAM38842 dosg2tsl27,7/19/2016,7/19/2016,7/18/2016,6,Online Search,Web
Bowflex Brand,CAM39441 dosbigl1,,7/19/2016,7/18/2016,2,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,,7/19/2016,7/18/2016,2,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,7/19/2016,7/19/2016,7/18/2016,1,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,,7/19/2016,7/18/2016,2,Online Search,Web
