FG Item,FG LifeCycle Status,FG Inactive,Warranty Item,FG Internal ID,Warranty Part LifeCycle Status,Warranty Part Inactive,Warranty Period,Warranty Part On Hand,Warranty Part On Order
"100005 Kit, Ult XTLU w/Book",Obsolete,F,90640 Mult-T-Curl  Tricep Press Bar,8568,In Production,F,3650,,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,95000 Mult - T-Bar Strap,8568,,F,3650,75,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,"90185 Cap, 1 1/2 14GA. Black End",8568,,F,3650,80,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10191 Mult - Black 1 4x5 SHC Screw,8568,,F,3650,35,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,11852 Cable  Rod Warranty Kit  Pr,8568,In Production,F,3650,1247,400
"100005 Kit, Ult XTLU w/Book",Obsolete,F,17100 Handgrip  Adj (Pair),8568,In Production,F,3650,2064,800
"100005 Kit, Ult XTLU w/Book",Obsolete,F,11804 Ult Incline Support Bracket,8568,In Production,F,3650,89,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,90177 Pulley  Generic,8568,In Production,F,3650,139,500
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10053 Ult Leg Ext Seat,8568,,F,3650,,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10054 Ult Leg Ext Pivot Tube,8568,,F,3650,12,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,51492 Ult Leg Ext Cable,8568,,F,3650,43,40
"100005 Kit, Ult XTLU w/Book",Obsolete,F,51481 Ult Leg Ext Pulley Kit,8568,,F,3650,27,5
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10059 Ult Leg Ext Hardware Card,8568,In Production,F,3650,97,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,90161 Knob   Threaded 3 8x1.25,8568,,F,3650,1124,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,90189 Mult - Leg Ext Pivot Bushing,8568,In Production,F,3650,1137,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,"90218 Cap, 3/4 End",8568,In Production,F,3650,1724,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,"95206 Tube, 3/4"" Chrome Roller",8568,In Production,F,3650,88,75
"100005 Kit, Ult XTLU w/Book",Obsolete,F,"90150 Screw, 1/4-20x3/4 PPHM",8568,,F,3650,13,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10813 Mult 2x3 Foot w Screw,8568,In Production,F,3650,55,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,"50304 ROLLER FOAM  L=175MM 7""",8568,In Production,F,3650,294,300
"100005 Kit, Ult XTLU w/Book",Obsolete,F,51490 Ult Warranty Leg Ext Box,8568,,F,3650,,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,17397 Ult Hardware Card,8568,In Production,F,3650,35,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,10046 Rod Pack Holder,8568,In Production,F,3650,58,200
"100005 Kit, Ult XTLU w/Book",Obsolete,F,90228 Mult - #8x0.50 PHM Screw,8568,In Production,F,3650,4746,60
"100005 Kit, Ult XTLU w/Book",Obsolete,F,95701 Rod  5# Tested W  S&C,8568,In Production,F,36500,1224,30
"100005 Kit, Ult XTLU w/Book",Obsolete,F,80208 Power Rod End Cap  5#,8568,In Production,F,3650,46,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,95702 Rod 10# Tested w  S&C,8568,In Production,F,36500,910,1725
"100005 Kit, Ult XTLU w/Book",Obsolete,F,80209 Power Rod End Cap 10#,8568,In Production,F,3650,76,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,95703 Rod  30# Tested w  S&C,8568,In Production,F,36500,1351,900
"100005 Kit, Ult XTLU w/Book",Obsolete,F,80210 Power Rod End Cap 30#,8568,In Production,F,3650,410,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,95704 Rod  50#  Tested w  S&C,8568,In Production,F,36500,2824,1700
"100005 Kit, Ult XTLU w/Book",Obsolete,F,80211 Power Rod End Cap 50#,8568,In Production,F,3650,1154,
"100005 Kit, Ult XTLU w/Book",Obsolete,F,51350 Ult Squat Cable Assembly,8568,,F,3650,22,50
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11752 DVD Manual Assy Ult W Poster,8569,,F,42,20,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10005 Ult Squat Platform,8569,In Production,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10006 Ult Cable Clip,8569,In Production,F,3650,15,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10083 Cap  End 1-3 4x 2,8569,In Production,F,3650,1074,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90211 Mult - Transport Wheel Assy,8569,In Production,F,3650,386,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11654 Ult Round Velcro Pad,8569,,F,3650,88,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10031 Ult Upper Lat Tower,8569,In Production,F,3650,5,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10032 Ult Hook Bracket,8569,,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"10037 Ult 50"" Bent Lat Bar Assy",8569,In Production,F,3650,17,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10089 Mult Lat Cable Storage Grommet,8569,In Production,F,3650,10,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10198 Mult - 3 8 X 3-1 2 J-Bolt,8569,,F,3650,55,25
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,50334 SNAPHOOK LARGE MULTI USE,8569,In Production,F,3650,320,250
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,20205 Pro 1x14-20Ga Round End Cap,8569,,F,3650,35,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10389 Ult Lat Tower Pulley Tube,8569,In Production,F,3650,31,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10078 Ult Lat Hardware Card,8569,In Production,F,3650,86,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51353 Ult Lat Cable Assembly,8569,,F,3650,168,25
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10014 Ult Seat Rail,8569,,F,3650,10,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10017 Ult Upholstered Seat,8569,In Production,F,3650,46,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10022 Ult Rail Spacer Tube,8569,,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90160 Mult - Bench Cup w Screw,8569,,F,3650,7,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,80179 Mult - Seat Hinge,8569,,F,3650,118,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90217 Belt  Leg Press,8569,,F,3650,66,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"90650 BAR W FOAM GRIPS BLACK  48""",8569,In Production,F,3650,87,40
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"11418 Cap  1"" Flat Round End",8569,In Production,F,3650,343,10
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11809 Ult Bench Warranty Kit,8569,,F,3650,,6
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,12340 Ppro Seat Bracket Wrnty Assy,8569,,F,3650,336,600
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10165 Mult-Blk 1 4-20x1 PPHM Screw,8569,,F,3650,68,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11824 Mult-Bench Hinge Brkt w Screws,8569,,F,3650,120,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51360 Ult Pulley Kit (Pair),8569,In Production,F,3650,4,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10011 Ult Adjustable Pulley Assembly,8569,In Production,F,3650,62,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10016 Ult Back Incline Bench Rest,8569,,F,3650,11,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10036 Ult Rear Leg,8569,In Production,F,3650,13,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10073 Mult Adjustable Squat Strap,8569,In Production,F,3650,166,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10074 Ult Locking Knob,8569,In Production,F,3650,113,50
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10075 Ult Lrge Threaded Knob 2-1 4x1,8569,In Production,F,3650,349,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10145 Ult Left Pulley Slide Assembly,8569,In Production,F,3650,29,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10146 Ult Right Pulley Slide Assy,8569,,F,3650,14,10
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90220 Mult - Rod Hook,8569,In Production,F,3650,122,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90222 Mult - Seat Rail End Cap,8569,,F,3650,318,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90640 Mult-T-Curl  Tricep Press Bar,8569,In Production,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,95000 Mult - T-Bar Strap,8569,,F,3650,75,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"90185 Cap, 1 1/2 14GA. Black End",8569,,F,3650,80,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10191 Mult - Black 1 4x5 SHC Screw,8569,,F,3650,35,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11852 Cable  Rod Warranty Kit  Pr,8569,In Production,F,3650,1247,400
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,17100 Handgrip  Adj (Pair),8569,In Production,F,3650,2064,800
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,11804 Ult Incline Support Bracket,8569,In Production,F,3650,89,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90177 Pulley  Generic,8569,In Production,F,3650,139,500
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10053 Ult Leg Ext Seat,8569,,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10054 Ult Leg Ext Pivot Tube,8569,,F,3650,12,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51492 Ult Leg Ext Cable,8569,,F,3650,43,40
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51481 Ult Leg Ext Pulley Kit,8569,,F,3650,27,5
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10059 Ult Leg Ext Hardware Card,8569,In Production,F,3650,97,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90161 Knob   Threaded 3 8x1.25,8569,,F,3650,1124,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90189 Mult - Leg Ext Pivot Bushing,8569,In Production,F,3650,1137,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"90218 Cap, 3/4 End",8569,In Production,F,3650,1724,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"95206 Tube, 3/4"" Chrome Roller",8569,In Production,F,3650,88,75
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"90150 Screw, 1/4-20x3/4 PPHM",8569,,F,3650,13,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10813 Mult 2x3 Foot w Screw,8569,In Production,F,3650,55,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,"50304 ROLLER FOAM  L=175MM 7""",8569,In Production,F,3650,294,300
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51490 Ult Warranty Leg Ext Box,8569,,F,3650,,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,17397 Ult Hardware Card,8569,In Production,F,3650,35,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,10046 Rod Pack Holder,8569,In Production,F,3650,58,200
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,90228 Mult - #8x0.50 PHM Screw,8569,In Production,F,3650,4746,60
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,95701 Rod  5# Tested W  S&C,8569,In Production,F,36500,1224,30
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,80208 Power Rod End Cap  5#,8569,In Production,F,3650,46,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,95702 Rod 10# Tested w  S&C,8569,In Production,F,36500,910,1725
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,80209 Power Rod End Cap 10#,8569,In Production,F,3650,76,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,95703 Rod  30# Tested w  S&C,8569,In Production,F,36500,1351,900
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,80210 Power Rod End Cap 30#,8569,In Production,F,3650,410,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,95704 Rod  50#  Tested w  S&C,8569,In Production,F,36500,2824,1700
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,80211 Power Rod End Cap 50#,8569,In Production,F,3650,1154,
"100006 Kit, Ult XTLU w/ 101 Bike",Obsolete,F,51350 Ult Squat Cable Assembly,8569,,F,3650,22,50
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11752 DVD Manual Assy Ult W Poster,8570,,F,42,20,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10005 Ult Squat Platform,8570,In Production,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10006 Ult Cable Clip,8570,In Production,F,3650,15,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10083 Cap  End 1-3 4x 2,8570,In Production,F,3650,1074,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90211 Mult - Transport Wheel Assy,8570,In Production,F,3650,386,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11654 Ult Round Velcro Pad,8570,,F,3650,88,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10031 Ult Upper Lat Tower,8570,In Production,F,3650,5,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10032 Ult Hook Bracket,8570,,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"10037 Ult 50"" Bent Lat Bar Assy",8570,In Production,F,3650,17,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10089 Mult Lat Cable Storage Grommet,8570,In Production,F,3650,10,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10198 Mult - 3 8 X 3-1 2 J-Bolt,8570,,F,3650,55,25
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,50334 SNAPHOOK LARGE MULTI USE,8570,In Production,F,3650,320,250
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,20205 Pro 1x14-20Ga Round End Cap,8570,,F,3650,35,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10389 Ult Lat Tower Pulley Tube,8570,In Production,F,3650,31,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10078 Ult Lat Hardware Card,8570,In Production,F,3650,86,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51353 Ult Lat Cable Assembly,8570,,F,3650,168,25
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10014 Ult Seat Rail,8570,,F,3650,10,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10017 Ult Upholstered Seat,8570,In Production,F,3650,46,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10022 Ult Rail Spacer Tube,8570,,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90160 Mult - Bench Cup w Screw,8570,,F,3650,7,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,80179 Mult - Seat Hinge,8570,,F,3650,118,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90217 Belt  Leg Press,8570,,F,3650,66,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"90650 BAR W FOAM GRIPS BLACK  48""",8570,In Production,F,3650,87,40
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"11418 Cap  1"" Flat Round End",8570,In Production,F,3650,343,10
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11809 Ult Bench Warranty Kit,8570,,F,3650,,6
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,12340 Ppro Seat Bracket Wrnty Assy,8570,,F,3650,336,600
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10165 Mult-Blk 1 4-20x1 PPHM Screw,8570,,F,3650,68,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11824 Mult-Bench Hinge Brkt w Screws,8570,,F,3650,120,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51360 Ult Pulley Kit (Pair),8570,In Production,F,3650,4,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10011 Ult Adjustable Pulley Assembly,8570,In Production,F,3650,62,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10016 Ult Back Incline Bench Rest,8570,,F,3650,11,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10036 Ult Rear Leg,8570,In Production,F,3650,13,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10073 Mult Adjustable Squat Strap,8570,In Production,F,3650,166,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10074 Ult Locking Knob,8570,In Production,F,3650,113,50
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10075 Ult Lrge Threaded Knob 2-1 4x1,8570,In Production,F,3650,349,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10145 Ult Left Pulley Slide Assembly,8570,In Production,F,3650,29,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10146 Ult Right Pulley Slide Assy,8570,,F,3650,14,10
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90220 Mult - Rod Hook,8570,In Production,F,3650,122,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90222 Mult - Seat Rail End Cap,8570,,F,3650,318,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90640 Mult-T-Curl  Tricep Press Bar,8570,In Production,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,95000 Mult - T-Bar Strap,8570,,F,3650,75,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"90185 Cap, 1 1/2 14GA. Black End",8570,,F,3650,80,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10191 Mult - Black 1 4x5 SHC Screw,8570,,F,3650,35,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11852 Cable  Rod Warranty Kit  Pr,8570,In Production,F,3650,1247,400
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,17100 Handgrip  Adj (Pair),8570,In Production,F,3650,2064,800
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,11804 Ult Incline Support Bracket,8570,In Production,F,3650,89,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90177 Pulley  Generic,8570,In Production,F,3650,139,500
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10053 Ult Leg Ext Seat,8570,,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10054 Ult Leg Ext Pivot Tube,8570,,F,3650,12,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51492 Ult Leg Ext Cable,8570,,F,3650,43,40
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51481 Ult Leg Ext Pulley Kit,8570,,F,3650,27,5
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10059 Ult Leg Ext Hardware Card,8570,In Production,F,3650,97,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90161 Knob   Threaded 3 8x1.25,8570,,F,3650,1124,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90189 Mult - Leg Ext Pivot Bushing,8570,In Production,F,3650,1137,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"90218 Cap, 3/4 End",8570,In Production,F,3650,1724,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"95206 Tube, 3/4"" Chrome Roller",8570,In Production,F,3650,88,75
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"90150 Screw, 1/4-20x3/4 PPHM",8570,,F,3650,13,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10813 Mult 2x3 Foot w Screw,8570,In Production,F,3650,55,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,"50304 ROLLER FOAM  L=175MM 7""",8570,In Production,F,3650,294,300
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51490 Ult Warranty Leg Ext Box,8570,,F,3650,,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,17397 Ult Hardware Card,8570,In Production,F,3650,35,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,10046 Rod Pack Holder,8570,In Production,F,3650,58,200
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,90228 Mult - #8x0.50 PHM Screw,8570,In Production,F,3650,4746,60
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,95701 Rod  5# Tested W  S&C,8570,In Production,F,36500,1224,30
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,80208 Power Rod End Cap  5#,8570,In Production,F,3650,46,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,95702 Rod 10# Tested w  S&C,8570,In Production,F,36500,910,1725
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,80209 Power Rod End Cap 10#,8570,In Production,F,3650,76,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,95703 Rod  30# Tested w  S&C,8570,In Production,F,36500,1351,900
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,80210 Power Rod End Cap 30#,8570,In Production,F,3650,410,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,95704 Rod  50#  Tested w  S&C,8570,In Production,F,36500,2824,1700
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,80211 Power Rod End Cap 50#,8570,In Production,F,3650,1154,
"100007 Kit, Ult XTLU w/ 103 Bike",Obsolete,F,51350 Ult Squat Cable Assembly,8570,,F,3650,22,50
100011 BFX Sport Plus Singlepack,Obsolete,F,10075 Ult Lrge Threaded Knob 2-1 4x1,3814,In Production,F,1825,349,
100011 BFX Sport Plus Singlepack,Obsolete,F,10083 Cap  End 1-3 4x 2,3814,In Production,F,1825,1074,
100011 BFX Sport Plus Singlepack,Obsolete,F,10089 Mult Lat Cable Storage Grommet,3814,In Production,F,1825,10,
100011 BFX Sport Plus Singlepack,Obsolete,F,10202 Mult - 14mm x 21mm End Cap,3814,In Production,F,1825,10,
100011 BFX Sport Plus Singlepack,Obsolete,F,10813 Mult 2x3 Foot w Screw,3814,In Production,F,1825,55,
100011 BFX Sport Plus Singlepack,Obsolete,F,"11418 Cap  1"" Flat Round End",3814,In Production,F,1825,343,10
100011 BFX Sport Plus Singlepack,Obsolete,F,11419 Cap  Xtr Foot Frame End,3814,In Production,F,1825,138,125
100011 BFX Sport Plus Singlepack,Obsolete,F,"11491 Bar  50"" Bent Lat",3814,In Production,F,1825,225,
100011 BFX Sport Plus Singlepack,Obsolete,F,11852 Cable  Rod Warranty Kit  Pr,3814,In Production,F,1825,1247,400
100011 BFX Sport Plus Singlepack,Obsolete,F,12341 Belt  Adjustable  Leg Press,3814,In Production,F,1825,132,
100011 BFX Sport Plus Singlepack,Obsolete,F,17045 Sport Upper Lat Tower Assy,3814,In Production,F,1825,12,
100011 BFX Sport Plus Singlepack,Obsolete,F,"12357 Cap, 3""x1-3/4"" Tube End",3814,In Production,F,1825,29,25
100011 BFX Sport Plus Singlepack,Obsolete,F,12439 Mult - Left Incline Rest Back,3814,In Production,F,1825,,10
100011 BFX Sport Plus Singlepack,Obsolete,F,17016 Mult - Pulley Alignment Kit,3814,In Production,F,1825,3373,
100011 BFX Sport Plus Singlepack,Obsolete,F,17050 Assy  Seat Slider,3814,,F,1825,8,20
100011 BFX Sport Plus Singlepack,Obsolete,F,17053 Assy  Sport Leg Ext Pivot Tube,3814,,F,1825,9,
100011 BFX Sport Plus Singlepack,Obsolete,F,17063 Tube  Sport 386mm Foam Roller,3814,In Production,F,1825,137,
100011 BFX Sport Plus Singlepack,Obsolete,F,17064 Tube  Sport 455mm Foam Roller,3814,In Production,F,1825,35,
100011 BFX Sport Plus Singlepack,Obsolete,F,17067 Spt Lat Cable Wrnty Kit (Pair),3814,In Production,F,1825,145,
100011 BFX Sport Plus Singlepack,Obsolete,F,17070 Assy  Seat Backbone,3814,,F,1825,2,
100011 BFX Sport Plus Singlepack,Obsolete,F,17074 Bushing  Seat Rail Pivot,3814,In Production,F,1825,303,350
100011 BFX Sport Plus Singlepack,Obsolete,F,17075 Assy  Spt Seat Rail w Bushings,3814,,F,1825,8,
100011 BFX Sport Plus Singlepack,Obsolete,F,17077 Cable  Squat Warranty Kit Pair,3814,In Production,F,1825,76,100
100011 BFX Sport Plus Singlepack,Obsolete,F,17082 Assy Spt Squat Straps Wrnty,3814,In Production,F,1825,193,100
100011 BFX Sport Plus Singlepack,Obsolete,F,17085 Bag  Sport Main Hardware,3814,,F,1825,,
100011 BFX Sport Plus Singlepack,Obsolete,F,17100 Handgrip  Adj (Pair),3814,In Production,F,1825,2064,800
100011 BFX Sport Plus Singlepack,Obsolete,F,"17110 Assy  Sport 4"" Pulley w HW",3814,,F,1825,,
100011 BFX Sport Plus Singlepack,Obsolete,F,"17313 Mult - 1"" Thick Bumper w Screw",3814,In Production,F,1825,26,10
100011 BFX Sport Plus Singlepack,Obsolete,F,17398 Spt Rub Bar Hanger Tube Assy,3814,In Production,F,1825,,
100011 BFX Sport Plus Singlepack,Obsolete,F,50334 SNAPHOOK LARGE MULTI USE,3814,In Production,F,1825,320,250
100011 BFX Sport Plus Singlepack,Obsolete,F,51001 Mult - Right Incline Rest Back,3814,In Production,F,1825,,10
100011 BFX Sport Plus Singlepack,Obsolete,F,51075 Pad  Foam Roller 90mm,3814,In Production,F,1825,146,90
100011 BFX Sport Plus Singlepack,Obsolete,F,51208 Mult Incln Sprt Brkt Assy w HW,3814,In Production,F,1825,12,
100011 BFX Sport Plus Singlepack,Obsolete,F,51272 Assy  Leg Ext Y Cable,3814,In Production,F,1825,77,
100011 BFX Sport Plus Singlepack,Obsolete,F,51278 Assy  Pulley w J-Bolt,3814,In Production,F,1825,36,10
100011 BFX Sport Plus Singlepack,Obsolete,F,51281 Assy Chest Pulley Cross Bar,3814,In Production,F,1825,17,
100011 BFX Sport Plus Singlepack,Obsolete,F,90211 Mult - Transport Wheel Assy,3814,In Production,F,1825,386,
100011 BFX Sport Plus Singlepack,Obsolete,F,"90218 Cap, 3/4 End",3814,In Production,F,1825,1724,
100011 BFX Sport Plus Singlepack,Obsolete,F,90642 Kit  Ppro T-Bar & Foot Hrns,3814,In Production,F,1825,,
100011 BFX Sport Plus Singlepack,Obsolete,F,"90650 BAR W FOAM GRIPS BLACK  48""",3814,In Production,F,1825,87,40
