Treadclimber,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74743354,Online,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780490,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780590,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780690,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780790,Online Shopping,Web
Bowflex Max Trainer,CAM52178 BRNGN60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780890,Short Form,Call Center Internal
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74780891,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74780892,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,11/7/2017,9/29/2017,9/25/2017,74780893,Online Display,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780894,Online Shopping,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74780992,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74780998,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74781098,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74781099,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781100,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74781199,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781299,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781399,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781500,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781600,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781701,Electronic - UnSourced,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74781801,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74781903,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74782003,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM34643 dodg2ddl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782103,Online Display,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74782206,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74782207,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74782208,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782211,Online Search,Web
Bowflex Max Trainer,CAM45897 DOXFBTRESPONSE,Internal,,9/29/2017,9/25/2017,74782312,Online Social,Call Center Internal
Treadclimber,CAM45897 DOXFBTRESPONSE,Internal,,9/29/2017,9/25/2017,74782313,Online Social,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74782414,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782415,Electronic - Short Form,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74782417,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74782515,Online Search,Call Center Internal
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782516,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74782616,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52144 FOXBN60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74782816,Short Form,Call Center Internal
Bowflex Catalog,CAM40820 1800BFXCATALOG,Internal,9/29/2017,9/29/2017,9/25/2017,74782817,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,9/29/2017,9/29/2017,9/25/2017,74782821,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74782824,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782924,Online Search,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74782925,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74783126,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74783127,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74783431,Electronic - UnSourced,Web
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74783532,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM49423 DOFG2T,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74783533,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM52196 MOVSN60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74783534,Short Form,Call Center Internal
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74783535,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74783635,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74783737,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74783844,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74783944,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74783945,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45538 DODG2DDL2,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74784147,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,11/3/2017,9/29/2017,9/25/2017,74784247,Online Search,Web
Bowflex Max Trainer,CAM52190 ION*N60*M450CTIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74784348,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74784349,Short Form,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74784350,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74784356,Electronic - UnSourced,Web
Bowflex Catalog,CAM45797 DSEESF14G,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74784456,Electronic - Short Form,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74784558,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74784757,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74784959,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785361,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74785461,Online Search,Call Center Internal
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785463,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785563,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785564,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785565,Electronic - UnSourced,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785664,Online Search,Web
Bowflex Max Trainer,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785765,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785766,Online Search,Web
Bowflex Revolution,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785767,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74785866,Electronic - UnSourced,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74785867,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785868,Short Form,Call Center Internal
Treadclimber,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785869,Short Form,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785870,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785970,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74785971,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74785972,Electronic - UnSourced,Web
Treadclimber,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74786070,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52186 GRITN60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74786072,Short Form,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786074,Electronic - UnSourced,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786274,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786375,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786475,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74786575,Online Search,Web
Bowflex Max Trainer,CAM52186 GRITN60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74786675,Short Form,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74786677,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786882,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786982,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74786983,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74787082,Online Shopping,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74787084,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,11/5/2017,9/29/2017,9/25/2017,74787182,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74787282,Un-Sourced,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74787283,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74787383,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74787385,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74787484,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74787684,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74787884,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74787988,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74787989,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74787990,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74788090,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788193,Electronic - Short Form,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788293,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74788394,Online Search,Web
Bowflex Max Trainer,CAM34643 dodg2ddl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788494,Online Display,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788495,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788595,Online Search,Web
Bowflex Catalog,CAM45898 DOXFBERESPONSE,Internal,9/29/2017,9/29/2017,9/25/2017,74788596,Online Social,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74788695,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45732 DOSBIESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788696,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74788796,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74788897,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74788898,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74788997,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74789199,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74789299,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74789400,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74789500,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74789705,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74789706,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74789907,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74790007,Online Shopping,Web
Treadclimber,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74790308,Electronic - UnSourced,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,9/29/2017,9/25/2017,74790309,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74790310,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74790410,Electronic - UnSourced,Web
Results Treadmill,CAM50817 DOFBIBXTFEED1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74790517,Online Shopping,Call Center Internal
Bowflex HVT,CAM50817 DOFBIBXTFEED1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74790518,Online Shopping,Call Center Internal
Treadclimber,CAM50817 DOFBIBXTFEED1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74790519,Online Shopping,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74790520,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74790620,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74790720,Online Shopping,Web
Bowflex UpperCut,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74790821,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74790822,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791022,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791122,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791222,Online Search,Web
Schwinn,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74791322,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74791323,Online Search,Call Center Internal
Results Treadmill,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791527,Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791528,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74791630,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74791730,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74791830,Electronic - UnSourced,Web
Results Treadmill,CAM50746 1800RESULTSTREADMILL,Internal,,9/29/2017,9/25/2017,74792030,Un-Sourced,Call Center Internal
Bowflex HVT,CAM50746 1800RESULTSTREADMILL,Internal,,9/29/2017,9/25/2017,74792031,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74792032,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74792133,Online Search,Web
Bowflex Max Trainer,CAM51749 DODIMGECOLMIDL1,IMG,,9/29/2017,9/25/2017,74792235,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74792438,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74792638,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74792839,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74792938,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74792939,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74792940,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM34645 dodg2gdl2,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74793038,Online Display,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74793138,Online Search,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793240,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793241,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793441,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793541,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793542,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793543,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74793544,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74793642,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74793742,Online Shopping,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74793845,Electronic - Short Form,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74793846,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,9/29/2017,9/29/2017,9/25/2017,74793950,Un-Sourced,Call Center Internal
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74793951,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794051,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74794151,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794251,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74794452,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794553,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794652,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74794752,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74794753,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794754,Online Shopping,Web
Bowflex Catalog,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74794852,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74794953,Online Search,Web
Bowflex Catalog,CAM50972 DCBHOMESUM17,Internal,,9/29/2017,9/25/2017,74795055,Catalog,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795056,Online Search,Web
Results Elliptical,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795057,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795059,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74795369,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,9/29/2017,9/25/2017,74795470,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795674,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795774,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74795876,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74795877,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74795878,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795879,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795880,Online Search,Web
Bowflex Revolution,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74795976,Online Search,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74796077,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74796078,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74796179,Online Search,Web
