SO-71382273|1|44.99||4.99|-4.99|44.99|44.99|Call Center|005-0022|Gaiam?s Calorie Coach from Ore|Other : Catalog Sourced
SO-71383292|1|199.00||14.95|-14.95|199.00|199.00|Web|100248|Core Body Reformer Sales Kit|Alternative Fitness : CoreBody Reformer : CoreBody Reformer
SO-71383292|1|24.99||4.99|-4.99|24.99|24.99|Web|005-0008|UPPER AND LOWER BODY WORKOUTS|Alternative Fitness : CoreBody Reformer : Accessories
SO-71383294|1|999.00||199.99|.00|1098.99|999.00|Web|100215|BFX TC5|Cardio : TreadClimber : TreadClimber
SO-71383294||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71383296|1|599.00||129.99|-129.99|549.00|599.00|Web|710000|BFX 1090 Dumbbell Kit|Strength : Selectorized : Weights
SO-71383296||.00|-50.00|.00|.00|.00|-50.00|Web|Sales Discount||
SO-71383297|1|129.95||24.95|.00|154.90|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SO-71383298|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383299|1|9.99||7.99|.00|17.98|9.99|Web|17100|Handgrip  Adj (Pair)|Other : Parts
SO-71383301|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383302|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383302||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71383303|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383303||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71383304|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383304||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383304|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383304||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383305|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383305||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71383306|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383306||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71383307|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383307||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383307|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383307||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383309|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383309|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383312|2|119.90||11.90|.00|131.80|119.90|Web|8006922|BOWFLEX BODY FITNESS SHAKE, FRENCH VANILLA - SINGLES|Nutrition
SO-71383312|2|59.90||9.90|.00|69.80|59.90|Web|8006909|BOWFLEX BODY FITNESS BOOST, FAT BURNER, CHOCOLATE|Nutrition
SO-71383313|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383313||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383313|1|99.00||9.99|-9.99|99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383313|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383316|1|2999.00||199.99|-199.99|2699.00|2999.00|Web|160000|BFX Revolution|Strength : Home Gyms : Spiraflex
SO-71383316||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383316|1|99.00||9.99|-9.99|.00|99.00|Web|000-3667|"BFX Machine Mat 37.5 x 99.5"""|Strength : Home Gyms : Accessories
SO-71383316||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383319|1|139.00||19.99|-19.99|139.00|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SO-71383314|1|2199.00||199.99|-199.99|1874.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383314||.00|-325.00|.00|.00|.00|-325.00|Web|Sales Discount||
SO-71383314|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383314||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383321|1|2199.00||199.99|-199.99|1874.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383321||.00|-325.00|.00|.00|.00|-325.00|Web|Sales Discount||
SO-71383321|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383321||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383315|1|599.00||129.99|-129.99|549.00|599.00|Web|710000|BFX 1090 Dumbbell Kit|Strength : Selectorized : Weights
SO-71383315||.00|-50.00|.00|.00|.00|-50.00|Web|Sales Discount||
SO-71383323|1|999.00||100.00|.00|1012.73|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383323|1|159.00||.00|.00|145.27|159.00|Web|IHA-100358|MAX TRAINER M3 Assembly|Other : Service : In Home Assembly
SO-71383323||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71383317|1|2199.00||199.99|-199.99|1874.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383317||.00|-325.00|.00|.00|.00|-325.00|Web|Sales Discount||
SO-71383317|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383317||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383330|1|349.00||122.99|.00|471.99|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71383330|1|139.00||49.99|.00|188.99|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SO-71383330|1|199.00||74.99|.00|273.99|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71383341|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383318|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383318||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383318|1|14.99||3.99|-3.99|14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383318|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383318||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383326|1|599.00||129.99|-129.99|549.00|599.00|Web|710000|BFX 1090 Dumbbell Kit|Strength : Selectorized : Weights
SO-71383326||.00|-50.00|.00|.00|.00|-50.00|Web|Sales Discount||
SO-71383326|1|139.00||19.99|-19.99|139.00|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SO-71383326|1|199.00||29.99|-29.99|199.00|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71383334|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383322|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383322||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383324|1|1599.00||150.00|-150.00|1599.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383324|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383325|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383325||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71383329|1|3299.00||199.99|-199.99|2949.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383329||.00|-350.00|.00|.00|.00|-350.00|Web|Sales Discount||
SO-71383329|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383329||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383327|1|3299.00||199.99|-199.99|2999.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383327||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383327|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383327||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383328|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383328||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383328|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383328||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383328|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383328|1|249.00||.00|.00|249.00|249.00|Call Center|IHA-100341|Bowflex TC10 Assembly|Other : Service : In Home Assembly
SO-71383332|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383332||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383332|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383333|1|999.00||100.00|-100.00|999.00|999.00|Call Center|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383333|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383333||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383333|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100358|MAX TRAINER M3 Assembly|Other : Service : In Home Assembly
SO-71383342|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383335|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383335||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383337|1|189.00||.00|.00|.00|189.00|Call Center|SERVICE - WITH PARTS|Technician Visit with product shipping|Other : Service : One Time Visit
SO-71383337||.00|-189.00||||-189.00|Call Center|Sales Discount||
SO-71383339|1|3299.00||199.99|-199.99|3299.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383339|1|249.00||.00|.00|249.00|249.00|Call Center|IHA-100342|Bowflex TC20 Assembly|Other : Service : In Home Assembly
SO-71383339|1|99.00||9.99|-9.99|99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383339|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383340|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383340||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383340|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383340||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383345|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383345||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383345|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383345||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383346|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383348|1|1589.00||150.00|-150.00|1589.00|1589.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383348|1|99.00||9.99|-9.99|99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383348|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383349|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383349||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383350|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383350||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383351|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383351||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383351|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383351||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383351|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383352|1|258.12||.00|.00|.00|258.12|Call Center|18506|BOARD  LWR CONTROL 5 7 SERIES|Other : Parts
SO-71383352||.00|-258.12||||-258.12|Call Center|Sales Discount||
SO-71383353|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383353||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383353|1|249.00||.00|.00|249.00|249.00|Web|IHA-100342|Bowflex TC20 Assembly|Other : Service : In Home Assembly
SO-71383353|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383353||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383354|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383354||.00|-99.00||||-99.00|Call Center|Sales Discount||
SO-71383357|1|999.00||100.00|.00|1099.00|999.00|Call Center|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383357|1|99.00||9.99|.00|108.99|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383359|1|3299.00||199.99|-199.99|2999.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383359||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383359|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383359||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383360|1|3299.00||199.99|-199.99|3099.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383360||.00|-200.00|.00|.00|.00|-200.00|Call Center|Sales Discount||
SO-71383360|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383360||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383360|1|49.99||9.99|-9.99|.00|49.99|Call Center|005-0027|Bowflex BMI Daily Calorie Scale|Other : Catalog Sourced
SO-71383360||.00|-49.99|.00|.00|.00|-49.99|Call Center|Sales Discount||
SO-71383360|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383364|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383364||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383364|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383364||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383368|1|99.00||10.99|-10.99|99.00|99.00|Web|10071|Rod Pack  410# upgrade|Strength : Home Gyms : Accessories
SO-71383368|1|129.95||24.95|-24.95|129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SO-71383368|1|19.99||2.99|-2.99|19.99|19.99|Web|8005106|MAX TRAINER MEN'S T-SHIRT - L|Other : Catalog Sourced
SO-71383386|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383365|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383365||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383365|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383365||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383389|1|11.99||7.99|-7.99|11.99|11.99|Web|8006325|ROLLERS, KIT OF 2 W/ENDCAPS|Other : Parts
SO-71383396|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383396||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383396|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383396||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383401|1|1599.00||169.99|-169.99|1299.00|1599.00|Web|100334|BFX XTREME 2SE HOME GYM|Strength : Home Gyms : Rods
SO-71383401||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383401|1|99.00||9.99|-9.99|.00|99.00|Web|000-7262|Xtreme 60x48 Mat Boxed|Strength : Home Gyms : Accessories
SO-71383401||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383366|1|7.99||7.99|.00|15.98|7.99|Web|12775|Tether  Safety  KK2731|Other : Parts
SO-71383369|1|549.00||69.99|.00|618.98|549.00|Web|100388|NLS R616 RECUMBENT BIKE|Cardio : Bikes : Recumbent
SO-71383369||.00|-.01|.00|.00|.00|-.01|Web|Sales Discount||
SO-71383370|1|28.45||.00|.00|28.45|28.45|Call Center|57027|CBL LAT|Other : Parts
SO-71383370|1|21.53||.00|.00|21.53|21.53|Call Center|57023|Cable Low Row|Other : Parts
SO-71383371|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383382|1|3299.00||199.99|.00|3498.99|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383382|1|99.00||9.99|.00|108.99|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383374|1|39.28||.00|.00|39.28|39.28|Call Center|93079|Schwinn Airdyne Seat|Other : Parts
SO-71383377|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383377||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383377|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383377||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383394|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383394||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71383394|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383394||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71383409|1|13.99||2.99|.00|15.58|13.99|Web|003-4172|Bfx Camelbak Btl (BPA Free)red|Other : Catalog Sourced
SO-71383409||.00|-1.40|.00|.00|.00|-1.40|Web|Sales Discount||
SO-71383409|1|13.99||2.99|.00|15.58|13.99|Web|003-4173|Bfx Camelbak Btl (BPA Free)blk|Other : Catalog Sourced
SO-71383409||.00|-1.40|.00|.00|.00|-1.40|Web|Sales Discount||
SO-71383456|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383456||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71383378|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71383378||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71383383|1|189.00||.00|.00|.00|189.00|Call Center|SERVICE - WITH PARTS|Technician Visit with product shipping|Other : Service : One Time Visit
SO-71383383||.00|-189.00||||-189.00|Call Center|Sales Discount||
SO-71383385|1|499.00||59.99|-59.99|499.00|499.00|Web|100338|SCH 270 Recumbent Bike|Cardio : Bikes : Recumbent
SO-71383416|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383416||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71383390|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383390||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383393|1|1599.00||150.00|-150.00|1599.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383397|1|2199.00||199.99|-199.99|1874.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383397||.00|-325.00|.00|.00|.00|-325.00|Call Center|Sales Discount||
SO-71383397|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383397||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383397|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383399|8|11.12||.00|.00|11.12|11.12|Call Center|97946|WINDRIGGER SEAT WHEEL SML|Other : Parts
SO-71383400|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383400|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383418|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383407|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71383407||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71383407|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71383407||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71383407|1|249.00||.00|.00|249.00|249.00|Call Center|IHA-100341|Bowflex TC10 Assembly|Other : Service : In Home Assembly
SO-71383407|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71383410|1|349.00||.00|.00|349.00|349.00|Call Center|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71383411|1|99.95||9.95|.00|109.90|99.95|Call Center|8006920|BOWFLEX BODY FITNESS SHAKE, POUCH, FRENCH VANILLA|Nutrition
SO-71383411|1|39.95||4.95|.00|44.90|39.95|Call Center|8006914|BOWFLEX BODY FITNESS BOOST, PROTEIN, PEANUT BUTTER|Nutrition
SO-71383412|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383437|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383440|1|99.00||10.99|.00|109.99|99.00|Web|95146|BFX 310# Rod Upgrade|Strength : Home Gyms : Accessories
SO-71383420|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383420||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71383420|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383421|1|199.00||29.99|.00|228.99|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71383422|1|1599.00||150.00|.00|1749.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71383422|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71383425|1|14.62||.00|.00|.00|14.62|Call Center|8004225|SERVICE KIT, ELLIPTICAL WHEEL|Other : Parts
SO-71383425||.00|-14.62||||-14.62|Call Center|Sales Discount||
